,Unnamed: 0,ID,kingdom,class,family,acceptedNameUsage,infraspecificEpithet,vernacularName,establishmentMeans,CATEGORÍA.DE.CONSERVACIÓN,basisOfRecord,institution,recordedBy,year,month,day,locality,locationRemarks,county,stateProvince,municipality,PRECISIÓN.DATO,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimCoordinateSystem,verbatimSRS,HUSO,occurrenceRemarks,datasetName,dynamicProperties,geodeticDatum,verbatimCoordinates,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
10,11,11,Plantae,Liliopsida,Poaceae,Stipa vaginata Phil.,,,Autóctona,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:16.035Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
11,12,12,Plantae,Magnoliopsida,Boraginaceae,Pectocarya anomala I.M. Johnst.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:16.440Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
12,13,13,Plantae,Magnoliopsida,Polemoniaceae,Gilia sp.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:16.847Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
13,14,14,Plantae,Magnoliopsida,Asteraceae,Chaetanthera sp.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:17.261Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
14,15,15,Plantae,Magnoliopsida,Chenopodiaceae,Chenopodium petiolare Kunth,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:17.666Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
15,16,16,Plantae,Magnoliopsida,Geraniaceae,Erodium cicutarium (L.) L'Hér. ex Aiton,,,Adventicia,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:18.072Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
16,17,17,Plantae,Gnetopsida,Ephedraceae,Ephedra breana Phil.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:18.481Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
17,18,18,Plantae,Magnoliopsida,Asteraceae,Gnaphalium glandulosum Klatt,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:18.900Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
18,19,19,Plantae,Magnoliopsida,Asteraceae,Senecio reicheanus Cabrera,,,Endémica de Chile,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:19.308Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
19,20,20,Plantae,Magnoliopsida,Asteraceae,Senecio dryophyllus Meyen & Walp.,,,Autóctona,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:19.709Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
20,21,21,Plantae,Magnoliopsida,Solanaceae,Nicotiana undulata Ruiz & Pav.,,,Autóctona,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:20.122Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
21,22,22,Plantae,Magnoliopsida,Asteraceae,Senecio ctenophyllus Phil.,,,Endémica de Chile,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:20.528Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
22,23,23,Plantae,Magnoliopsida,Malvaceae,Tarasa sp.,,,,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:20.941Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
23,24,24,Plantae,Magnoliopsida,Fabaceae,Astragalus sp.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:21.351Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
24,25,25,Plantae,Magnoliopsida,Fabaceae,Adesmia sp.,,,,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:21.765Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
25,26,26,Plantae,Magnoliopsida,Solanaceae,Fabiana ramulosa (Wedd.) Hunz. & Barboza,,,Autóctona,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:22.184Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
26,27,27,Plantae,Magnoliopsida,Solanaceae,Fabiana sp.,,,Autóctona,Sin clasificación,Observación/Colecta,AGUCH,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:22.592Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
27,28,28,Plantae,Liliopsida,Poaceae,Stipa rupestris Phil.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:22.998Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
28,29,29,Plantae,Liliopsida,Poaceae,Muhlenbergia peruviana (P. Beauv.) Steud.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:23.399Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
29,30,30,Plantae,Magnoliopsida,Asteraceae,Baccharis boliviensis (Wedd.) Cabrera var. boliviensis,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:23.795Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
30,31,31,Plantae,Magnoliopsida,Asteraceae,Parastrephia lepidophylla (Wedd.) Cabrera,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:24.204Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
31,32,32,Plantae,Magnoliopsida,Asteraceae,Baccharis tola Phil. ssp. tola,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:24.620Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
32,33,33,Plantae,Magnoliopsida,Brassicaceae,Descurainia sp.,,,,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Rio Caritaya,LAGUNA ROJA,Arica,de Arica y Parinacota,Camarones,GPS,-19.055317,-69.250496,3716,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.055317, -69.250496",-19.055317,-69.250496,10,0.0000001,2022-11-23T05:39:25.026Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
